site_id,lat,lon,c_j
J524,37.399548506672,-122.08610458813192,50000
J525,37.39943241308427,-122.0861797965521,50000
J526,37.3996909808381,-122.08647345371183,50000
J527,37.399572527670905,-122.08654586982995,50000
J528,37.39942648043144,-122.0852053854768,50000
J529,37.399198375785176,-122.0849745054786,50000
J530,37.39931567993212,-122.0843312333935,50000
J531,37.39960332456011,-122.08303286013263,50000
J532,37.39952615702655,-122.08369407926479,50000
J533,37.39925209748214,-122.0864532216937,50000
J534,37.39998112559504,-122.08671356990341,50000
J535,37.400756880335315,-122.08583825599213,50000
J536,37.40096334214324,-122.08580736223288,50000
J537,37.41684627548119,-122.07667151131865,50000
J538,37.40513268174946,-122.04962740898968,50000
J539,37.410032182931744,-122.06463119750947,50000
J540,37.40962857717882,-122.06603318814548,50000
J541,37.409879869474224,-122.06637553557486,50000
J542,37.37688507215471,-122.06288188923541,50000
J543,37.38995229349253,-122.06020999270562,50000
J544,37.389489546962494,-122.06004131682862,50000
J545,37.40752162745101,-122.10574597284993,50000
J546,37.409732399885854,-122.10452651500584,50000
J547,37.42701190914542,-122.09877481419012,50000
J548,37.36075205867711,-122.06830528671281,50000
J549,37.38979588209245,-122.09557652502414,50000
J550,37.39448186788593,-122.04923619548951,50000
J551,37.39591536762915,-122.05013738462613,50000
J552,37.39518691310317,-122.0505676354667,50000
J553,37.396307082538925,-122.04954230361162,50000
J554,37.39663401264803,-122.05009000593704,50000
J555,37.3966118229966,-122.05132735383833,50000
J556,37.39551450097448,-122.05178170018226,50000
J557,37.397209573482776,-122.05115342095475,50000
J558,37.39778695903003,-122.05085419695283,50000
J559,37.39853720987879,-122.05058834010414,50000
J560,37.39922462081975,-122.05130442513074,50000
J561,37.39753797782624,-122.04942389575753,50000
J562,37.39720992543431,-122.04841659778728,50000
J563,37.40282224244959,-122.04965145000705,50000
J564,37.40309573458972,-122.05027054607604,50000
J565,37.40215002227732,-122.04919263308112,50000
J566,37.40149493758088,-122.04948979963399,50000
J567,37.40075415919421,-122.04982395119771,50000
J568,37.40006729759518,-122.04929859417757,50000
J569,37.400569232439416,-122.04817498468663,50000
J570,37.39959081568719,-122.04750345853574,50000
J571,37.39939034413918,-122.04780948367782,50000
J572,37.39900762748004,-122.04602310517453,50000
J573,37.39839985858857,-122.04641392255304,50000
J574,37.39876260294432,-122.04788391671791,50000
J575,37.39859507651136,-122.0472721899383,50000
J576,37.39910871159538,-122.0494996067132,50000
J577,37.39767861673524,-122.04782385922864,50000
J578,37.39677820002308,-122.04885040002469,50000
J579,37.39997372839967,-122.05136690924432,50000
J580,37.40088779230948,-122.05084937277489,50000
J581,37.402371437604536,-122.05047585193815,50000
J582,37.40182155438324,-122.05039996682999,50000
J583,37.40282554115164,-122.05181351777546,50000
J584,37.40227988565697,-122.05198560535976,50000
J585,37.40171618909321,-122.05218617379272,50000
J586,37.40185134136144,-122.05288578336469,50000
J587,37.40204839345057,-122.05365785920331,50000
J588,37.40059437283503,-122.05278287337815,50000
J589,37.40108981477819,-122.05505967930819,50000
J590,37.40200635942217,-122.05494030367105,50000
J591,37.40026553661856,-122.05389448825481,50000
J592,37.399546697312296,-122.05364573524328,50000
J593,37.39952826820114,-122.0546018199406,50000
J594,37.39980420908575,-122.05474798623786,50000
J595,37.40036086101326,-122.05680336629422,50000
J596,37.39564292903623,-122.04676377782698,50000
J597,37.39616281461251,-122.04683594339099,50000
J598,37.396689801324484,-122.04642906755569,50000
J599,37.397169210576195,-122.04626247329271,50000
J600,37.39757819001638,-122.04623393122975,50000
J601,37.39610506582115,-122.04758294777604,50000
J602,37.39636114210556,-122.04810189363094,50000
J603,37.396881362410326,-122.04775977436309,50000
J604,37.39699531927342,-122.04677538755726,50000
J605,37.3959845066907,-122.04884313922615,50000
