site_id,lat,lon,tier
J246,37.40351270205406,-122.10412343891844,5
J247,37.40055023859875,-122.0556286349961,5
J248,37.391792413484765,-122.05922489659817,3
J249,37.37536500430867,-122.06229061255807,3
J250,37.3756932685795,-122.06194631119409,3
J251,37.375274349129604,-122.06170878245378,3
J252,37.3754187001281,-122.06122919999635,3
J253,37.40224810568291,-122.11384515178844,3
J254,37.40956483352539,-122.10614990478933,5
J255,37.4102282432768,-122.10619276320313,3
J256,37.40773681475338,-122.10413266916646,3
J257,37.40784224571174,-122.10628766598109,3
J258,37.403355370523094,-122.11156350713027,3
J259,37.400948079451275,-122.04640865606756,5
J260,37.40251408570673,-122.04731962059047,5
J261,37.401952882790134,-122.06620869265518,3
J262,37.40188640000962,-122.06584595000099,3
J263,37.40187254998541,-122.06566705001786,3
J264,37.40184648177102,-122.06546464612772,3
J265,37.40200904993349,-122.06532895006211,3
J266,37.401623600225804,-122.06717690011004,3
J267,37.366138997451486,-122.0874973002711,3
J268,37.39951340006687,-122.08638574991255,5
J269,37.400166449786575,-122.0880993002732,5
J270,37.41267594994854,-122.09041814995838,3
J271,37.40070134256197,-122.07707129567135,5
J272,37.400703399804414,-122.08794625025544,5
J273,37.399628889662615,-122.08631248487906,5
J274,37.40048622225047,-122.0808786704667,5
J275,37.40037205010834,-122.08081479996581,5
J276,37.40681502685325,-122.09118703406067,3
J277,37.40084094407857,-122.1116886311452,4
J278,37.39688869993103,-122.10025156095664,5
J279,37.39670980000192,-122.09979823724794,5
J280,37.39652365018178,-122.09932294975356,5
J281,37.397061300178244,-122.10068894976122,5
J282,37.40135410002682,-122.07958350000034,5
J283,37.404944253052456,-122.09509291775035,3
J284,37.38744032029936,-122.08906945043503,3
J285,37.4019658100603,-122.09202663576028,3
J286,37.401358726259346,-122.0913357332733,3
J287,37.40135721211206,-122.0906679410365,3
J288,37.391662852571336,-122.07124431048865,3
J289,37.391384300014764,-122.07059450005077,3
J290,37.39149308760358,-122.07090835296917,3
J291,37.41985641785982,-122.0644666683916,3
J292,37.40369585545656,-122.08322115428355,3
J293,37.405762506496,-122.08489785670328,3
J294,37.399989477049274,-122.08366670991396,3
J295,37.40000635136692,-122.08443065795447,3
J296,37.40040880749622,-122.08804035336726,3
J297,37.401219957389976,-122.08765687072112,5
J298,37.40044929991021,-122.08283979999491,5
J299,37.403251808201034,-122.08424895776638,3
J300,37.39832213504511,-122.08344066157272,3
J301,37.398681393882654,-122.08453764670426,3
J302,37.39887866491232,-122.08515417398081,3
J303,37.39882330000485,-122.0850052500101,3
J304,37.39901655001324,-122.08395270003446,3
J305,37.40388702336356,-122.05842126710321,5
J306,37.38874645837656,-122.08927573208778,3
J307,37.40609913665117,-122.09522781359811,5
J308,37.40597466612616,-122.09493378353906,5
J309,37.41726755000086,-122.09697025000577,3
J310,37.41548326196085,-122.09711798127266,3
J311,37.41648873017802,-122.09700656952703,3
J312,37.41985690089929,-122.09673256957235,3
J313,37.40746304017033,-122.10844815029735,4
J314,37.399642225006595,-122.077744490584,5
J315,37.40044840016486,-122.07773999999827,5
J316,37.40040140803989,-122.07874468571391,3
J317,37.40086513808027,-122.07850439456442,3
J318,37.39714998040262,-122.07851929400431,3
J319,37.40057424253244,-122.07762628709581,5
J320,37.40215435787088,-122.07871974183185,3
J321,37.42119594822038,-122.07594694417797,5
J322,37.421238754641536,-122.07258157210684,5
J323,37.42123297435846,-122.07019551919423,5
J324,37.42163740108293,-122.07150023086905,5
J325,37.400482297926565,-122.08071686940525,5
J326,37.40148547258017,-122.0810693959416,5
J327,37.40180270366466,-122.07998379865924,3
J328,37.39974887012431,-122.11003908849412,3
J329,37.39993364897359,-122.10978738918304,3
